104	sp|Q58577|Y1178_METJA	30.055	366	192	15	1	336	4	335	2.97e-28	115
104	sp|Q81ST7|BSHA_BACAN	29.097	299	168	10	63	335	77	357	2.74e-22	100
104	sp|P9WMZ3|PIMB_MYCTU	28.689	244	148	6	113	336	130	367	3.03e-21	97.1
104	sp|P9WMZ2|PIMB_MYCTO	28.689	244	148	6	113	336	130	367	3.03e-21	97.1
104	sp|O32272|TUAC_BACSU	25.313	399	230	11	1	348	1	382	8.09e-21	95.9
104	sp|Q59002|Y1607_METJA	28.523	298	181	10	67	340	84	373	1.72e-18	89.4
104	sp|Q8NTA6|MSHA_CORGL	30.147	272	160	13	103	352	144	407	1.34e-17	86.7
104	sp|A4QB40|MSHA_CORGB	30.147	272	160	13	103	352	144	407	1.34e-17	86.7
104	sp|A7TZT2|MFPS_AGRFC	26.400	250	160	6	106	336	177	421	9.87e-17	84.3
104	sp|Q8FSH1|MSHA_COREF	29.588	267	156	12	106	349	147	404	3.79e-16	82.4
104	sp|Q94BX4|PIGA_ARATH	27.090	299	196	10	64	351	87	374	4.49e-16	82.4
104	sp|A0JZ09|MSHA_ARTS2	26.518	313	179	12	61	336	93	391	5.03e-16	82.0
104	sp|Q65CC7|KANE_STRKN	30.435	161	104	4	167	326	207	360	2.83e-15	79.7
104	sp|A4FQ08|MSHA_SACEN	29.817	218	131	6	124	322	177	391	6.78e-15	79.0
104	sp|Q4JSW2|MSHA_CORJK	28.352	261	161	9	110	349	150	405	1.10e-14	78.2
104	sp|P87172|GPI3_SCHPO	31.472	197	124	7	145	338	165	353	1.45e-14	77.8
104	sp|P42982|BSHA_BACSU	29.682	283	155	14	71	327	86	350	1.82e-14	77.4
104	sp|P9WMY7|MSHA_MYCTU	30.556	216	136	6	147	352	235	446	2.46e-14	77.4
104	sp|P9WMY6|MSHA_MYCTO	30.556	216	136	6	147	352	235	446	2.46e-14	77.4
104	sp|C6DT68|MSHA_MYCTK	30.556	216	136	6	147	352	235	446	2.46e-14	77.4
104	sp|A5WJJ8|MSHA_MYCTF	30.556	216	136	6	147	352	235	446	2.46e-14	77.4
